name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description
T01	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T02	ECOG	µV	468	0.15	G2	grid	2048	n/a	bad	noisy (visual assessment)
T03	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T04	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T05	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T06	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T07	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T08	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T09	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T10	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T11	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T12	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T13	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T14	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T15	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T16	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T17	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T18	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T19	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T20	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T21	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T22	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T23	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T24	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T25	ECOG	µV	468	0.15	G2	grid	2048	n/a	bad	noisy (visual assessment)
T26	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T27	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T28	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T29	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T30	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T31	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T32	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T33	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T34	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T35	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T36	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T37	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T38	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
T39	ECOG	µV	468	0.15	G2	grid	2048	n/a	good	included
