name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description	headbox
LAS1	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LAS2	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LAS3	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LAS4	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LMS1	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LMS2	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LMS3	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LMS4	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPS1	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPS2	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPS3	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPS4	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG1	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG2	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG3	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG4	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG5	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG6	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG7	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG8	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG9	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG10	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG11	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG12	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG13	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG14	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG15	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG16	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG17	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG18	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG19	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG20	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG21	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG22	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG23	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG24	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG25	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG26	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG27	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG28	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG29	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG30	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG31	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG32	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG33	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LTG34	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LTG35	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LTG36	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LTG37	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LTG38	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LTG39	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LTG40	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LTG41	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG42	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG43	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG44	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG45	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG46	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG47	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG48	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LAG49	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LAG50	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LAG51	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LAG52	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LAG53	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAG54	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAG55	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	overlaps	2
LAG56	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	overlaps	2
LAG57	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAG58	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAG59	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAG60	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAG61	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAG62	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAG63	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	overlaps	2
LAG64	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	overlaps	2
LAD1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAD2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAD3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAD4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LSD1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LSD2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LSD3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LSD4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LPD1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LPD2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LPD3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LPD4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
EKG	ECG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
