name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description	headbox
LG1	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG2	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG3	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG4	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG5	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG6	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG7	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG8	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG9	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG10	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG11	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG12	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG13	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG14	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG15	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG16	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG17	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG18	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG19	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG20	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG21	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG22	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG23	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG24	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG25	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG26	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG27	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG28	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG29	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG30	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG31	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG32	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG33	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG34	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG35	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG36	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG37	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG38	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG39	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG40	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG41	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG42	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG43	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG44	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG45	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG46	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG47	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG48	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LAS1	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LAS2	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LAS3	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LAS4	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LST1	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LST2	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LST3	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LST4	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LAD1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LAD2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LAD3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LAD4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPD1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPD2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPD3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPD4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
EKG	ECG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
