name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description	headbox
RG1	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG2	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
RG3	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
RG4	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG5	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG6	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG7	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG8	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG9	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG10	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG11	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG12	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG13	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG14	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG15	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG16	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG17	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG18	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG19	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG20	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG21	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG22	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG23	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG24	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG25	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG26	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG27	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG28	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG29	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG30	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG31	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG32	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG33	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG34	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG35	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RG36	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
C37	n/a	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	n/a
C38	n/a	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	n/a
C39	n/a	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	n/a
