name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description	headbox
LG1	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG2	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG3	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG4	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG5	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG6	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LG7	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG8	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG9	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG10	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG11	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG12	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG13	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG14	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG15	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG16	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG17	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LG18	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG19	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG20	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG21	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LG22	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG23	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LG24	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
EKG	ECG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
C26	n/a	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	n/a
C27	n/a	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	n/a
C28	n/a	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	n/a
C29	n/a	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	n/a
C30	n/a	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	n/a
C31	n/a	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	n/a
C32	n/a	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	n/a
C33	n/a	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	n/a
C34	n/a	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	n/a
C35	n/a	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	n/a
C36	n/a	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	n/a
C37	n/a	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	n/a
C38	n/a	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	n/a
C39	n/a	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	n/a
