name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description	headbox
LTG1	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG2	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG3	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG4	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG5	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG6	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG7	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG8	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG9	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG10	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG11	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG12	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG13	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG14	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG15	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG16	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG17	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG18	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG19	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG20	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG21	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG22	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG23	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG24	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG25	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG26	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG27	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG28	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG29	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG30	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG31	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LTG32	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPG1	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPG2	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPG3	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPG4	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPG5	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPG6	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPG7	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPG8	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPG9	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPG10	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPG11	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPG12	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPG13	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPG14	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPG15	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LPG16	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LFG1	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LFG2	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LFG3	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LFG4	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LFG5	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LFG6	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LFG7	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LFG8	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LFG9	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LFG10	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LFG11	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
