name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description	headbox
LFG12	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
LFG13	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LFG14	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LFG15	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LFG16	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
LFG17	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LFG18	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LFG19	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LFG20	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LFG21	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LFG22	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LFG23	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LFG24	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAS1	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAS2	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAS3	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAS4	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LMS1	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LMS2	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LMS3	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LMS4	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LPS1	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LPS2	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LPS3	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LPS4	ECOG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAD1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAD2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAD3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LAD4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LMD1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LMD2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LMD3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LMD4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LPD1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LPD2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LPD3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
LPD4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
EKG	ECG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	2
